Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2025-01-01 05:15:00-06:00,2025-01-01 05:15:00-06:00,2025-01-01 05:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.62
2025-01-01 05:30:00-06:00,2025-01-01 05:30:00-06:00,2025-01-01 05:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,21.87
2025-01-01 05:30:00-06:00,2025-01-01 05:30:00-06:00,2025-01-01 05:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,21.87
2025-01-01 05:30:00-06:00,2025-01-01 05:30:00-06:00,2025-01-01 05:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,21.85
2025-01-01 05:45:00-06:00,2025-01-01 05:45:00-06:00,2025-01-01 06:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,20.81
2025-01-01 05:45:00-06:00,2025-01-01 05:45:00-06:00,2025-01-01 06:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.82
2025-01-01 05:45:00-06:00,2025-01-01 05:45:00-06:00,2025-01-01 06:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.82
2025-01-01 06:00:00-06:00,2025-01-01 06:00:00-06:00,2025-01-01 06:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,20.69
2025-01-01 06:00:00-06:00,2025-01-01 06:00:00-06:00,2025-01-01 06:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.7
2025-01-01 06:00:00-06:00,2025-01-01 06:00:00-06:00,2025-01-01 06:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.7
2025-01-01 06:15:00-06:00,2025-01-01 06:15:00-06:00,2025-01-01 06:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,20.48
2025-01-01 06:15:00-06:00,2025-01-01 06:15:00-06:00,2025-01-01 06:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.48
2025-01-01 06:15:00-06:00,2025-01-01 06:15:00-06:00,2025-01-01 06:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,20.48
2025-01-01 06:30:00-06:00,2025-01-01 06:30:00-06:00,2025-01-01 06:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,21.12
2025-01-01 06:30:00-06:00,2025-01-01 06:30:00-06:00,2025-01-01 06:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,21.28
2025-01-01 06:30:00-06:00,2025-01-01 06:30:00-06:00,2025-01-01 06:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,21.29
2025-01-01 06:45:00-06:00,2025-01-01 06:45:00-06:00,2025-01-01 07:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,23.1
2025-01-01 06:45:00-06:00,2025-01-01 06:45:00-06:00,2025-01-01 07:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,23.1
2025-01-01 06:45:00-06:00,2025-01-01 06:45:00-06:00,2025-01-01 07:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,22.47
2025-01-01 07:00:00-06:00,2025-01-01 07:00:00-06:00,2025-01-01 07:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,22.07
2025-01-01 07:00:00-06:00,2025-01-01 07:00:00-06:00,2025-01-01 07:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,22.78
2025-01-01 07:00:00-06:00,2025-01-01 07:00:00-06:00,2025-01-01 07:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,22.78
2025-01-01 07:15:00-06:00,2025-01-01 07:15:00-06:00,2025-01-01 07:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,23.99
2025-01-01 07:15:00-06:00,2025-01-01 07:15:00-06:00,2025-01-01 07:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,23.07
2025-01-01 07:15:00-06:00,2025-01-01 07:15:00-06:00,2025-01-01 07:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,23.99
2025-01-01 07:30:00-06:00,2025-01-01 07:30:00-06:00,2025-01-01 07:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,23.86
2025-01-01 07:30:00-06:00,2025-01-01 07:30:00-06:00,2025-01-01 07:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,24.89
2025-01-01 07:30:00-06:00,2025-01-01 07:30:00-06:00,2025-01-01 07:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,24.89
2025-01-01 07:45:00-06:00,2025-01-01 07:45:00-06:00,2025-01-01 08:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,24.6
2025-01-01 07:45:00-06:00,2025-01-01 07:45:00-06:00,2025-01-01 08:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,23.56
2025-01-01 07:45:00-06:00,2025-01-01 07:45:00-06:00,2025-01-01 08:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,24.6
2025-01-01 08:00:00-06:00,2025-01-01 08:00:00-06:00,2025-01-01 08:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,23.49
2025-01-01 08:00:00-06:00,2025-01-01 08:00:00-06:00,2025-01-01 08:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,24.52
2025-01-01 08:00:00-06:00,2025-01-01 08:00:00-06:00,2025-01-01 08:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,24.52
2025-01-01 08:15:00-06:00,2025-01-01 08:15:00-06:00,2025-01-01 08:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,22.64
2025-01-01 08:15:00-06:00,2025-01-01 08:15:00-06:00,2025-01-01 08:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,21.6
2025-01-01 08:15:00-06:00,2025-01-01 08:15:00-06:00,2025-01-01 08:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,22.64
2025-01-01 08:30:00-06:00,2025-01-01 08:30:00-06:00,2025-01-01 08:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,15.49
2025-01-01 08:30:00-06:00,2025-01-01 08:30:00-06:00,2025-01-01 08:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.5
2025-01-01 08:30:00-06:00,2025-01-01 08:30:00-06:00,2025-01-01 08:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.5
2025-01-01 08:45:00-06:00,2025-01-01 08:45:00-06:00,2025-01-01 09:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.74
2025-01-01 08:45:00-06:00,2025-01-01 08:45:00-06:00,2025-01-01 09:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.74
2025-01-01 08:45:00-06:00,2025-01-01 08:45:00-06:00,2025-01-01 09:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.74
2025-01-01 09:00:00-06:00,2025-01-01 09:00:00-06:00,2025-01-01 09:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.78
2025-01-01 09:00:00-06:00,2025-01-01 09:00:00-06:00,2025-01-01 09:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.78
2025-01-01 09:00:00-06:00,2025-01-01 09:00:00-06:00,2025-01-01 09:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.78
2025-01-01 09:15:00-06:00,2025-01-01 09:15:00-06:00,2025-01-01 09:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.06
2025-01-01 09:15:00-06:00,2025-01-01 09:15:00-06:00,2025-01-01 09:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.06
2025-01-01 09:15:00-06:00,2025-01-01 09:15:00-06:00,2025-01-01 09:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.06
2025-01-01 09:30:00-06:00,2025-01-01 09:30:00-06:00,2025-01-01 09:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,11.48
2025-01-01 09:30:00-06:00,2025-01-01 09:30:00-06:00,2025-01-01 09:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,11.48
2025-01-01 09:30:00-06:00,2025-01-01 09:30:00-06:00,2025-01-01 09:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,11.48
2025-01-01 09:45:00-06:00,2025-01-01 09:45:00-06:00,2025-01-01 10:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,9.49
2025-01-01 09:45:00-06:00,2025-01-01 09:45:00-06:00,2025-01-01 10:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,9.49
2025-01-01 09:45:00-06:00,2025-01-01 09:45:00-06:00,2025-01-01 10:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,9.49
2025-01-01 10:00:00-06:00,2025-01-01 10:00:00-06:00,2025-01-01 10:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,8.09
2025-01-01 10:00:00-06:00,2025-01-01 10:00:00-06:00,2025-01-01 10:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,8.09
2025-01-01 10:00:00-06:00,2025-01-01 10:00:00-06:00,2025-01-01 10:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,8.09
2025-01-01 10:15:00-06:00,2025-01-01 10:15:00-06:00,2025-01-01 10:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,9.39
2025-01-01 10:15:00-06:00,2025-01-01 10:15:00-06:00,2025-01-01 10:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,9.39
2025-01-01 10:15:00-06:00,2025-01-01 10:15:00-06:00,2025-01-01 10:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,9.39
2025-01-01 10:30:00-06:00,2025-01-01 10:30:00-06:00,2025-01-01 10:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,9.94
2025-01-01 10:30:00-06:00,2025-01-01 10:30:00-06:00,2025-01-01 10:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,9.94
2025-01-01 10:30:00-06:00,2025-01-01 10:30:00-06:00,2025-01-01 10:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,9.94
2025-01-01 10:45:00-06:00,2025-01-01 10:45:00-06:00,2025-01-01 11:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,11.02
2025-01-01 10:45:00-06:00,2025-01-01 10:45:00-06:00,2025-01-01 11:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,11.02
2025-01-01 10:45:00-06:00,2025-01-01 10:45:00-06:00,2025-01-01 11:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,11.02
2025-01-01 11:00:00-06:00,2025-01-01 11:00:00-06:00,2025-01-01 11:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,13.29
2025-01-01 11:00:00-06:00,2025-01-01 11:00:00-06:00,2025-01-01 11:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,13.29
2025-01-01 11:00:00-06:00,2025-01-01 11:00:00-06:00,2025-01-01 11:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,13.29
2025-01-01 11:15:00-06:00,2025-01-01 11:15:00-06:00,2025-01-01 11:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.1
2025-01-01 11:15:00-06:00,2025-01-01 11:15:00-06:00,2025-01-01 11:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.1
2025-01-01 11:15:00-06:00,2025-01-01 11:15:00-06:00,2025-01-01 11:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.1
2025-01-01 11:30:00-06:00,2025-01-01 11:30:00-06:00,2025-01-01 11:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.31
2025-01-01 11:30:00-06:00,2025-01-01 11:30:00-06:00,2025-01-01 11:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.31
2025-01-01 11:30:00-06:00,2025-01-01 11:30:00-06:00,2025-01-01 11:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.31
2025-01-01 11:45:00-06:00,2025-01-01 11:45:00-06:00,2025-01-01 12:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.99
2025-01-01 11:45:00-06:00,2025-01-01 11:45:00-06:00,2025-01-01 12:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.0
2025-01-01 11:45:00-06:00,2025-01-01 11:45:00-06:00,2025-01-01 12:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.0
2025-01-01 12:00:00-06:00,2025-01-01 12:00:00-06:00,2025-01-01 12:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.52
2025-01-01 12:00:00-06:00,2025-01-01 12:00:00-06:00,2025-01-01 12:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,15.5
2025-01-01 12:00:00-06:00,2025-01-01 12:00:00-06:00,2025-01-01 12:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.51
2025-01-01 12:15:00-06:00,2025-01-01 12:15:00-06:00,2025-01-01 12:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,15.7
2025-01-01 12:15:00-06:00,2025-01-01 12:15:00-06:00,2025-01-01 12:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.72
2025-01-01 12:15:00-06:00,2025-01-01 12:15:00-06:00,2025-01-01 12:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.72
2025-01-01 12:30:00-06:00,2025-01-01 12:30:00-06:00,2025-01-01 12:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,15.17
2025-01-01 12:30:00-06:00,2025-01-01 12:30:00-06:00,2025-01-01 12:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.19
2025-01-01 12:30:00-06:00,2025-01-01 12:30:00-06:00,2025-01-01 12:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.19
2025-01-01 12:45:00-06:00,2025-01-01 12:45:00-06:00,2025-01-01 13:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.9
2025-01-01 12:45:00-06:00,2025-01-01 12:45:00-06:00,2025-01-01 13:00:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.9
2025-01-01 12:45:00-06:00,2025-01-01 12:45:00-06:00,2025-01-01 13:00:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.89
2025-01-01 13:00:00-06:00,2025-01-01 13:00:00-06:00,2025-01-01 13:15:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,15.58
2025-01-01 13:00:00-06:00,2025-01-01 13:00:00-06:00,2025-01-01 13:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.59
2025-01-01 13:00:00-06:00,2025-01-01 13:00:00-06:00,2025-01-01 13:15:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,15.59
2025-01-01 13:15:00-06:00,2025-01-01 13:15:00-06:00,2025-01-01 13:30:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.82
2025-01-01 13:15:00-06:00,2025-01-01 13:15:00-06:00,2025-01-01 13:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.82
2025-01-01 13:15:00-06:00,2025-01-01 13:15:00-06:00,2025-01-01 13:30:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.82
2025-01-01 13:30:00-06:00,2025-01-01 13:30:00-06:00,2025-01-01 13:45:00-06:00,HB_NORTH,Trading Hub,REAL_TIME_15_MIN,14.75
2025-01-01 13:30:00-06:00,2025-01-01 13:30:00-06:00,2025-01-01 13:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.75
2025-01-01 13:30:00-06:00,2025-01-01 13:30:00-06:00,2025-01-01 13:45:00-06:00,LZ_NORTH,Load Zone,REAL_TIME_15_MIN,14.75
